customer_id,customer_name,email,country,signup_date,customer_segment,lifetime_value
1,Customer 00001,,Brazil,2024-10-01,Standard,1404.40
2,Customer 00002,,Germany,2024-12-12,Basic,3835.45
3,Customer 00003,,Japan,2024-04-13,Standard,474.40
4,Customer 00004,,Australia,2022-03-31,Basic,5891.07
5,Customer 00005,,India,2021-02-02,Basic,3026.20
6,Customer 00006,,Japan,2020-05-30,Basic,4722.30
7,Customer 00007,,United States,2024-04-14,Standard,8654.01
8,Customer 00008,,Brazil,2023-06-30,Premium,1013.77
9,Customer 00009,,India,2022-03-17,Standard,5849.29
10,Customer 00010,,Canada,2022-01-18,Premium,6317.28
11,Customer 00011,,Japan,2022-11-08,Basic,422.10
12,Customer 00012,,Australia,2020-04-02,Premium,7482.55
13,Customer 00013,,United Kingdom,2021-11-13,Basic,4791.87
14,Customer 00014,,United States,2020-11-01,Premium,3438.97
15,Customer 00015,,India,2023-06-09,Premium,4120.42
16,Customer 00016,,Germany,2023-06-16,Basic,3527.13
17,Customer 00017,,United States,2022-11-04,Basic,5136.41
18,Customer 00018,,Germany,2023-12-22,Standard,8553.74
19,Customer 00019,,India,2020-02-04,Standard,7065.37
20,Customer 00020,,Japan,2020-08-12,Basic,3226.23
21,Customer 00021,,Australia,2024-06-19,Basic,4976.43
22,Customer 00022,,France,2021-06-27,Basic,538.49
23,Customer 00023,,United Kingdom,2023-04-10,Premium,5496.97
24,Customer 00024,,Japan,2023-07-12,Premium,8615.74
25,Customer 00025,,France,2023-10-26,Premium,6003.83
26,Customer 00026,,Brazil,2023-12-05,Premium,198.57
27,Customer 00027,,India,2022-06-22,Standard,1587.87
28,Customer 00028,,France,2022-04-25,Standard,5261.95
29,Customer 00029,,United Kingdom,2024-05-06,Basic,7627.36
30,Customer 00030,,Canada,2020-05-07,Basic,2174.13
31,Customer 00031,,India,2023-02-22,Basic,5016.08
32,Customer 00032,,Japan,2022-12-12,Standard,1815.94
33,Customer 00033,,United States,2022-07-30,Standard,5728.08
